"","name","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1","Ampara",388,1109,2288,321,996,291,242,996,354,4528,1327,708,431,506,5939,507,1281,487,305,368,663,3903,1361,695,562,1485,2985,2572,4700,246,80,765,179,2924,1745,323,846,979,7521,1300,1008,128,156,966,125,2353,2582,1394,311,334,2162,2812,2934,216,165,1923,1026,2305,622,690
"2","Anuradhapura",1448,1364,2355,468,827,226,203,1307,252,4442,2033,416,393,251,3672,181,570,797,114,171,520,4325,2660,2313,1389,864,2544,2307,1678,538,100,272,141,3247,2628,217,1221,301,3955,726,562,89,34,821,127,1807,3932,1318,236,513,1527,1993,1597,168,50,2179,1404,1599,646,187
"3","Badulla",637,1708,2031,169,628,401,470,1689,512,4459,1957,921,688,522,5008,426,1010,868,527,374,1037,3877,1994,1504,1442,1987,2583,2981,4046,461,143,870,226,2546,2313,382,1484,1374,6595,1259,762,148,277,1123,144,2182,3145,2116,454,449,1711,2080,2482,285,296,2366,1844,2123,606,969
"4","Batticaloa",757,1475,2649,382,911,351,370,1520,369,4985,2034,693,445,277,5254,379,1011,885,336,285,715,4484,2243,1809,1140,1392,3105,3129,3603,543,152,617,193,3123,2420,332,1068,727,7009,1210,870,134,133,971,150,2296,3361,1852,231,531,1965,2273,2531,171,148,2647,1654,2116,531,529
"5","Colombo",3089,2734,1504,91,1169,1629,2245,2309,1505,4832,2690,2584,1282,797,3474,375,536,2085,2914,622,6666,4322,1914,3665,3198,4084,863,1123,1440,1367,1723,1724,1527,2379,2881,1001,2831,4541,2463,1683,1527,610,1552,1689,1042,2332,5554,3540,1723,413,566,2522,1289,2784,3341,1593,4889,2353,1696,3446
"6","Galle",2358,2537,1382,140,1097,1549,1858,1541,1591,4451,2236,2615,1245,1065,3342,389,572,1763,2554,625,5892,3911,1632,2666,2159,4097,895,942,1392,1112,1353,1420,1461,2489,2634,1077,2376,4510,2694,1375,1370,608,1486,1423,1020,2355,5032,3638,1394,365,677,2400,1274,2412,2669,1198,4263,2370,1492,3576
"7","Gampaha",2396,2243,1181,194,524,699,1473,2631,899,4733,2868,1339,953,272,2459,263,342,1951,1316,428,2782,4221,2783,4060,2994,2184,1061,2118,1112,1169,606,1074,399,2627,3238,489,2501,1886,1729,1160,597,405,707,1629,208,2080,5274,2239,1439,487,458,2046,941,1630,1931,1906,3837,2033,1371,1524
"8","Hambantota",340,1196,670,131,421,291,507,388,602,2867,626,918,617,681,2787,304,552,414,796,379,1299,2564,668,261,148,1978,1086,1232,1980,95,41,699,192,2069,1255,300,1109,1796,3589,711,345,100,545,924,59,1582,2215,1637,535,55,801,2264,1312,342,566,831,1380,1685,591,1334
"9","Jaffna",1444,2525,2280,53,243,219,115,1082,538,5125,1462,319,165,631,2294,53,206,2278,412,61,437,5364,2716,5150,1823,560,2186,309,464,335,186,61,212,4728,2421,344,706,267,2452,70,327,195,102,294,129,1733,3857,1915,33,978,1796,1305,429,214,462,1908,1425,1597,1158,337
"10","Kalutara",3089,2734,1504,91,1169,1629,2245,2309,1505,4832,2690,2584,1282,797,3474,375,536,2085,2914,622,6666,4322,1914,3665,3198,4084,863,1123,1440,1367,1723,1724,1527,2379,2881,1001,2831,4541,2463,1683,1527,610,1552,1689,1042,2332,5554,3540,1723,413,566,2522,1289,2784,3341,1593,4889,2353,1696,3446
"11","Kandy",1025,2144,1560,154,451,440,611,1620,539,4262,2249,968,779,384,3663,292,645,1216,596,285,1211,3858,2426,2390,1973,2179,1937,2597,2624,670,172,654,188,2499,2704,351,1870,1597,3838,969,478,218,328,993,96,1963,3717,2041,1181,469,994,1767,1763,687,578,1701,2098,1973,1618,1080
"12","Kegalle",2396,2243,1181,194,524,699,1473,2631,899,4733,2868,1339,953,272,2459,263,342,1951,1316,428,2782,4221,2783,4060,2994,2184,1061,2118,1112,1169,606,1074,399,2627,3238,489,2501,1886,1729,1160,597,405,707,1629,208,2080,5274,2239,1439,487,458,2046,941,1630,1931,1906,3837,2033,1371,1524
"13","Kilinochchi",1188,876,2895,101,347,51,13,992,245,4546,1443,95,143,182,3025,69,316,532,22,59,179,5002,2516,2090,1306,203,2814,270,743,87,10,64,83,4152,2156,91,602,39,3252,139,419,30,3,308,75,1654,3526,772,30,313,2581,1481,723,23,19,1610,783,1431,920,59
"14","Kurunegala",2124,1423,1245,341,403,292,754,2117,407,4396,2382,597,668,184,2267,178,328,1148,465,260,1041,4288,3023,3182,2334,1012,1405,2435,1149,720,276,460,120,3026,3093,213,2073,667,1770,748,280,140,280,1277,69,1789,4617,1413,817,342,752,1979,987,548,533,1807,1766,1702,1023,592
"15","Mannar",1625,779,2298,201,478,67,16,1173,213,4014,1554,146,232,143,2871,72,347,453,12,80,271,4202,2438,1836,1654,298,2329,881,938,163,9,106,77,3334,2212,91,978,59,2786,283,410,21,2,505,69,1460,3542,753,88,264,2158,1462,924,25,5,1863,806,1300,834,50
"16","Matale",1440,1683,1869,354,626,371,573,1626,396,4655,2293,689,615,261,3549,256,592,1171,438,250,859,4377,2721,2582,1823,1378,2149,2688,2091,727,223,500,174,3074,2854,295,1663,774,3650,924,507,193,176,1008,126,2016,4093,1702,687,520,1052,2079,1637,502,417,2197,1977,1881,992,543
"17","Matara",1173,2305,948,130,729,877,1273,909,1267,3686,1275,2022,1003,1165,3066,352,558,1116,1904,533,3587,3281,1101,1160,906,3812,987,1228,2102,458,467,1127,660,2350,1992,695,1914,3806,3270,1060,812,307,1232,1317,337,1950,3724,3287,1015,128,726,2575,1322,1254,1660,1057,3115,2054,1013,2953
"18","Moneragala",590,1773,1360,175,608,423,598,1154,704,3771,1321,1152,819,767,4273,421,875,761,802,448,1477,3324,1366,1016,884,2482,1918,2259,3399,315,117,923,264,2430,1890,422,1605,2021,5560,1101,601,151,495,1205,128,1960,2894,2316,633,281,1337,2658,2112,398,519,1805,2033,2001,662,1469
"19","Mullaitivu",908,1310,3292,216,519,115,35,954,237,5009,1629,194,160,310,3551,149,459,812,44,95,204,5423,2605,2544,979,387,3234,568,1001,190,26,103,112,4517,2292,176,502,97,4648,275,570,78,8,345,105,2028,3581,1146,27,557,2249,1928,1002,61,37,1758,957,1672,753,112
"20","Nuwara Eliya",983,2342,1187,80,563,449,710,1714,801,3812,1989,1364,945,690,3497,358,647,1062,849,434,1849,3374,1935,2041,1736,2897,1589,2246,2702,484,120,1030,223,2160,2494,433,2039,2489,3715,1163,688,212,552,1332,55,1865,3757,2504,1370,289,869,2197,1682,798,833,1608,2433,1958,1684,1850
"21","Polonnaruwa",757,1475,2649,382,911,351,370,1520,369,4985,2034,693,445,277,5254,379,1011,885,336,285,715,4484,2243,1809,1140,1392,3105,3129,3603,543,152,617,193,3123,2420,332,1068,727,7009,1210,870,134,133,971,150,2296,3361,1852,231,531,1965,2273,2531,171,148,2647,1654,2116,531,529
"22","Puttalam",2519,547,1235,236,461,228,616,1740,345,4005,1874,452,577,94,1960,114,233,699,394,210,1422,3785,1994,2592,2350,367,798,1384,608,474,390,393,250,2534,2166,203,1873,391,1065,592,428,62,293,1015,193,1600,4122,951,655,132,794,1440,669,354,354,1067,781,1548,1189,563
"23","Ratnapura",983,2342,1187,80,563,449,710,1714,801,3812,1989,1364,945,690,3497,358,647,1062,849,434,1849,3374,1935,2041,1736,2897,1589,2246,2702,484,120,1030,223,2160,2494,433,2039,2489,3715,1163,688,212,552,1332,55,1865,3757,2504,1370,289,869,2197,1682,798,833,1608,2433,1958,1684,1850
"24","Trincomalee",1682,2358,1897,398,529,524,720,1257,497,4588,2088,721,500,574,2541,190,379,1821,455,220,754,4615,2787,4179,1588,1293,1972,1486,882,1103,439,264,338,3668,2669,497,1257,98,3530,515,397,242,27,748,328,2061,3895,2755,88,1184,1147,1554,891,109,112,2972,2944,1633,487,91
"25","Vavuniya",1625,779,2298,201,478,67,16,1173,213,4014,1554,146,232,143,2871,72,347,453,12,80,271,4202,2438,1836,1654,298,2329,881,938,163,9,106,77,3334,2212,91,978,59,2786,283,410,21,2,505,69,1460,3542,753,88,264,2158,1462,924,25,5,1863,806,1300,834,50
